                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0218,                 2.3479,                 1.1546,                0.42235,                0.27221,                0.32781,                0.18482,                 2.0563,                 2.3049,                 1.0569,             0.00041307,             0.00041307,             0.00041307
                      2,                 1.8226,                 1.3678,                 1.0388,                0.47674,                  0.431,                0.39365,                0.21949,                 2.0175,                 1.4677,                 1.0295,             0.00080236,             0.00080236,             0.00080236
                      3,                 1.7995,                 1.2292,                 1.0213,                0.51339,                0.46346,                0.43374,                0.23685,                 1.9138,                 1.2733,                 1.0129,              0.0011641,              0.0011641,              0.0011641
                      4,                 1.7027,                 1.1132,                  1.011,                0.52427,                0.46518,                 0.4325,                0.23955,                 1.9465,                 1.2208,                 1.0049,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.7395,                 1.0913,                0.99853,                0.56909,                0.43413,                0.43201,                0.24166,                 1.9639,                 1.1604,                 1.0155,              0.0011263,              0.0011263,              0.0011263
                      6,                  1.684,                0.99539,                0.99818,                0.53152,                0.46663,                0.45506,                 0.2511,                 1.8631,                 1.0721,                0.99006,               0.001085,               0.001085,               0.001085
                      7,                 1.6648,                0.96511,                 0.9883,                 0.5646,                0.48735,                0.47228,                0.26114,                 1.7993,                 1.0365,                0.98484,              0.0010438,              0.0010438,              0.0010438
                      8,                 1.6944,                0.97365,                0.98482,                0.59597,                0.51068,                0.49179,                0.26747,                 1.7862,                 1.0046,                 0.9782,              0.0010025,              0.0010025,              0.0010025
                      9,                 1.6241,                 0.9297,                0.99069,                0.58801,                0.50369,                0.48519,                0.26135,                  1.831,                 1.0673,                0.98842,             0.00096125,             0.00096125,             0.00096125
                     10,                 1.6151,                0.91862,                0.98033,                0.58879,                0.52759,                0.49965,                0.27494,                 1.7873,                0.97631,                0.97453,                0.00092,                0.00092,                0.00092
                     11,                 1.5986,                0.89469,                0.97195,                0.55803,                0.52612,                0.48713,                0.26737,                 1.7858,                0.99218,                0.97032,             0.00087875,             0.00087875,             0.00087875
                     12,                 1.6133,                0.87913,                  0.978,                0.59471,                0.54067,                0.51089,                0.27923,                  1.774,                0.94612,                0.97559,              0.0008375,              0.0008375,              0.0008375
                     13,                  1.615,                 0.8824,                0.96425,                0.60679,                0.53046,                0.51129,                0.28321,                 1.7573,                0.94735,                0.96926,             0.00079625,             0.00079625,             0.00079625
                     14,                 1.5991,                0.88523,                0.96959,                0.59803,                0.53302,                0.51037,                0.27948,                 1.7625,                0.93735,                0.96641,               0.000755,               0.000755,               0.000755
                     15,                 1.5942,                0.85504,                0.96046,                0.61483,                0.54924,                0.52152,                0.29397,                 1.6997,                0.89603,                0.95544,             0.00071375,             0.00071375,             0.00071375
                     16,                 1.5764,                0.83605,                0.96461,                0.61022,                0.55161,                0.54174,                0.29449,                 1.7143,                0.91421,                0.95702,              0.0006725,              0.0006725,              0.0006725
                     17,                 1.5481,                0.82283,                0.95682,                0.60235,                0.54595,                0.51941,                0.28773,                 1.7264,                 1.0731,                0.96007,             0.00063125,             0.00063125,             0.00063125
                     18,                 1.5732,                0.82891,                0.95211,                0.64212,                0.54406,                0.53045,                0.29662,                 1.7205,                0.94854,                0.95281,                0.00059,                0.00059,                0.00059
                     19,                  1.506,                0.80201,                0.95174,                0.64913,                0.54866,                0.54431,                0.29931,                 1.7123,                0.89901,                0.95929,             0.00054875,             0.00054875,             0.00054875
                     20,                 1.5465,                0.80148,                0.94994,                 0.6341,                0.54085,                0.53605,                0.29485,                 1.6987,                  0.881,                0.95644,              0.0005075,              0.0005075,              0.0005075
                     21,                 1.5466,                0.80295,                0.96426,                0.59189,                0.54816,                0.52414,                 0.2877,                  1.706,                0.90565,                0.95918,             0.00046625,             0.00046625,             0.00046625
                     22,                  1.521,                0.80923,                0.95525,                0.60999,                0.56386,                0.53146,                0.29918,                 1.7016,                 0.9169,                0.95574,               0.000425,               0.000425,               0.000425
                     23,                 1.5268,                 0.7925,                0.95716,                0.64344,                0.54879,                0.54318,                 0.2986,                 1.6919,                0.88992,                0.95466,             0.00038375,             0.00038375,             0.00038375
                     24,                 1.4978,                0.76888,                0.94954,                0.62752,                0.56538,                0.54779,                0.29877,                 1.7097,                0.88244,                0.95835,              0.0003425,              0.0003425,              0.0003425
                     25,                 1.4989,                0.76738,                0.94372,                0.62594,                0.58475,                0.54908,                0.30762,                 1.6675,                 0.9048,                0.94685,             0.00030125,             0.00030125,             0.00030125
                     26,                 1.5051,                0.77903,                0.94354,                0.64685,                0.57706,                0.55975,                0.31609,                 1.6657,                0.84931,                0.94495,                0.00026,                0.00026,                0.00026
                     27,                 1.4765,                0.74515,                0.94054,                0.66522,                0.57624,                 0.5681,                0.31508,                  1.652,                0.83823,                0.94685,             0.00021875,             0.00021875,             0.00021875
                     28,                 1.4655,                 0.7271,                0.94133,                0.65983,                0.57366,                0.56365,                0.31529,                 1.6322,                0.82693,                0.93894,              0.0001775,              0.0001775,              0.0001775
                     29,                 1.4729,                0.74218,                0.93779,                0.67486,                0.57015,                0.56677,                0.32185,                  1.627,                0.81243,                0.94019,             0.00013625,             0.00013625,             0.00013625
                     30,                 1.4381,                0.71694,                0.93771,                0.66152,                0.58113,                0.56758,                0.31822,                 1.6415,                0.82898,                0.94085,                9.5e-05,                9.5e-05,                9.5e-05
