                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4496,                0.72751,                0.94158,                 0.6648,                 0.5699,                 0.5671,                0.32511,                 1.6684,                 0.8363,                0.94454,             0.00041307,             0.00041307,             0.00041307
                      2,                 1.5188,                0.77824,                0.94849,                0.64876,                 0.5617,                0.55412,                0.30258,                 1.6907,                0.87511,                0.95663,             0.00080236,             0.00080236,             0.00080236
                      3,                 1.5495,                 0.8189,                 0.9517,                0.60261,                0.55862,                 0.5349,                0.30376,                 1.7251,                0.89938,                0.95336,              0.0011641,              0.0011641,              0.0011641
                      4,                 1.5193,                0.80096,                0.95671,                0.60595,                0.55061,                0.52578,                0.29131,                 1.7559,                0.92008,                0.96644,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.5783,                0.84749,                0.95424,                0.61741,                0.52549,                0.52318,                0.28941,                 1.7494,                0.92652,                0.97592,              0.0011263,              0.0011263,              0.0011263
                      6,                 1.5286,                 0.7913,                0.95462,                 0.6259,                0.54614,                  0.536,                0.30571,                 1.6895,                0.87205,                0.95392,               0.001085,               0.001085,               0.001085
                      7,                 1.5271,                0.79682,                0.94904,                0.60277,                0.54401,                0.54509,                0.30744,                 1.6766,                0.89529,                0.95189,              0.0010438,              0.0010438,              0.0010438
                      8,                 1.5683,                0.80411,                0.95139,                0.61295,                0.55594,                0.54745,                0.31514,                 1.6697,                0.87124,                0.94548,              0.0010025,              0.0010025,              0.0010025
                      9,                 1.5061,                 0.7873,                0.95743,                0.62033,                0.55759,                0.54652,                0.31026,                 1.6647,                0.86054,                0.94799,             0.00096125,             0.00096125,             0.00096125
                     10,                 1.5073,                0.77414,                0.95057,                0.63087,                0.55745,                0.54911,                0.31089,                 1.6597,                 0.8679,                0.94573,                0.00092,                0.00092,                0.00092
                     11,                 1.4955,                0.77671,                 0.9454,                0.64411,                 0.5678,                0.56193,                0.31039,                 1.6699,                0.84196,                0.94591,             0.00087875,             0.00087875,             0.00087875
                     12,                 1.5097,                0.76623,                0.95239,                0.65057,                0.56732,                0.55523,                0.30512,                 1.6629,                0.83151,                0.95268,              0.0008375,              0.0008375,              0.0008375
                     13,                 1.5113,                0.77148,                0.93861,                0.65325,                0.57191,                 0.5665,                0.31992,                 1.6554,                0.82975,                 0.9432,             0.00079625,             0.00079625,             0.00079625
                     14,                 1.4987,                0.76781,                0.94478,                0.61819,                0.54976,                0.53692,                0.29959,                 1.7237,                0.84187,                0.95204,               0.000755,               0.000755,               0.000755
                     15,                 1.4977,                0.74945,                0.93712,                0.64753,                0.56352,                0.56346,                0.31889,                 1.6375,                0.80818,                0.94062,             0.00071375,             0.00071375,             0.00071375
                     16,                 1.4916,                0.74087,                0.94333,                0.66558,                0.58367,                0.57912,                0.32158,                 1.6207,                0.81354,                0.94215,              0.0006725,              0.0006725,              0.0006725
                     17,                 1.4661,                0.72961,                0.93617,                0.65665,                0.59663,                0.57209,                0.32622,                 1.6139,                 0.8331,                0.93676,             0.00063125,             0.00063125,             0.00063125
                     18,                 1.4861,                0.73868,                0.93032,                0.65403,                0.55958,                0.55324,                0.31405,                 1.7042,                0.83842,                0.94405,                0.00059,                0.00059,                0.00059
                     19,                 1.4254,                0.72048,                0.93271,                0.67472,                0.59159,                0.59006,                0.32907,                 1.6261,                0.79673,                0.94244,             0.00054875,             0.00054875,             0.00054875
                     20,                 1.4628,                0.71774,                0.92898,                0.69308,                0.57655,                0.58492,                0.33184,                 1.6114,                0.78651,                0.93493,              0.0005075,              0.0005075,              0.0005075
                     21,                 1.4523,                0.71653,                0.93892,                0.67114,                0.57172,                 0.5693,                0.32084,                 1.6263,                0.80544,                0.93833,             0.00046625,             0.00046625,             0.00046625
                     22,                 1.4453,                0.71929,                0.93586,                0.67305,                0.58379,                0.58192,                0.32975,                 1.6119,                0.80649,                0.93654,               0.000425,               0.000425,               0.000425
                     23,                 1.4571,                0.71153,                0.93918,                0.66487,                0.57793,                 0.5775,                0.32599,                  1.623,                0.79691,                0.93921,             0.00038375,             0.00038375,             0.00038375
                     24,                 1.4211,                0.68633,                0.92894,                0.66327,                0.59132,                   0.58,                0.33011,                 1.6213,                0.77942,                0.93587,              0.0003425,              0.0003425,              0.0003425
                     25,                  1.425,                0.69462,                0.92432,                0.68821,                0.59149,                0.58738,                0.33539,                 1.5846,                0.78927,                0.92819,             0.00030125,             0.00030125,             0.00030125
                     26,                  1.434,                  0.704,                0.92562,                0.68868,                0.59755,                 0.5932,                0.34167,                 1.5886,                0.76555,                0.92661,                0.00026,                0.00026,                0.00026
                     27,                 1.4005,                0.67371,                0.92153,                0.68472,                0.60078,                 0.6008,                0.33946,                 1.5881,                0.76853,                 0.9309,             0.00021875,             0.00021875,             0.00021875
                     28,                 1.3964,                0.66583,                0.92426,                  0.694,                0.59164,                0.59463,                 0.3394,                 1.5742,                0.75641,                0.92526,              0.0001775,              0.0001775,              0.0001775
                     29,                 1.4078,                0.67971,                0.92151,                0.68043,                0.59893,                 0.5976,                0.34677,                 1.5565,                0.74812,                0.92464,             0.00013625,             0.00013625,             0.00013625
                     30,                 1.3691,                0.65153,                0.92228,                0.69344,                0.60763,                0.60692,                0.34602,                 1.5634,                0.74922,                0.92565,                9.5e-05,                9.5e-05,                9.5e-05
